File Name	Original Release Date	Latest Release Date	Original Release Size	Latest Release Size	Change in Size	Time Interval	Time Interval	Growth Rate	File Name	
			KiloBytes	KiloBytes	Latest - Original	Days	Years	kB / year		
					KiloBytes					
taler-merchant	2016-06-02	2023-11-30	1126.4	6963.2	5836.8	2737	7.498630137	778.3821703	taler-merchant	
taler-twister	2021-08-10	2023-09-24	421.0	429.0	8	775	2.123287671	3.767741935	taler-twister	
taler-wallet	2022-11-04	2023-11-29	13312.0	12288.0	-1024	390	1.068493151	-958.3589744	taler-wallet	
tar	1996-10-01	2023-07-18	670.0	4505.6	3835.6	9786	26.8109589	143.0609033	tar	
termcap	1995-08-17	2002-03-13	282.0	429.0	147	2400	6.575342466	22.35625	termcap	
teseq	2008-08-04	2015-08-14	272.0	317.0	45	2566	7.030136986	6.40101325	teseq	
teximpatient	2013-05-30	2014-11-13	2048.0	1536.0	-512	532	1.457534247	-351.2781955	teximpatient	
texinfo	2003-06-10	2023-10-18	1843.2	12288.0	10444.8	7435	20.36986301	512.7574983	texinfo	
time	1996-07-11	2018-03-12	101.0	583.0	482	7914	21.68219178	22.23022492	time	
tramp	2005-02-01	2023-12-30	319.0	661.0	342	6906	18.92054795	18.07558645	tramp	
trueprint	1999-07-19	2013-03-11	141.0	557.0	416	4984	13.65479452	30.46548957	trueprint	
unifont	2013-10-20	2023-10-29	9011.2	30720.0	21708.8	3661	10.03013699	2164.357279	unifont	
units	1997-01-14	2022-09-05	116.0	1228.8	1112.8	9365	25.65753425	43.37127603	units	
unrtf	2001-10-03	2018-11-24	62.0	794.0	732	6261	17.15342466	42.6736943	unrtf	
unrtf_0.20.4	2007-08-28	2007-08-30	433.0	433.0	0	2	0.005479452	0	unrtf_0.20.4	
userv	1999-04-20	2006-06-05	208.0	194.0	-14	2603	7.131506849	-1.963119478	userv	
userv-utils	2000-03-06	2000-09-17	28.0	63.0	35	195	0.534246575	65.51282051	userv-utils	
uucp	2000-03-10	2003-06-03	1433.6	1024.0	-409.6	1180	3.232876712	-126.6983051	uucp	
vc-dwim	2009-06-25	2011-05-20	313.0	357.0	44	694	1.901369863	23.14121037	vc-dwim	
vcdimager	2001-05-15	2018-01-07	340.0	1126.4	786.4	6081	16.66027397	47.20210492	vcdimager	
vera	1998-10-28	2020-08-04	127.0	235.0	108	7951	21.78356164	4.957866935	vera	
wb	2012-04-09	2020-02-17	428.0	434.0	6	2870	7.863013699	0.763066202	wb	
wdiff	1994-11-06	2014-04-14	126.0	1433.6	1307.6	7099	19.44931507	67.23115932	wdiff	
wget	1998-09-23	2023-05-10	436.0	4915.2	4479.2	8995	24.64383562	181.7574208	wget	
wget2	2019-08-30	2023-08-31	3072.0	3788.8	716.8	1462	4.005479452	178.9548564	wget2	
which	2007-10-10	2015-03-20	123.0	146.0	23	2718	7.446575342	3.088668138	which	
xboard	2009-12-08	2016-07-31	1740.8	3891.2	2150.4	2427	6.649315068	323.4017305	xboard	
xlogmaster	1998-07-24	2009-06-24	161.0	381.0	220	3988	10.9260274	20.13540622	xlogmaster	
Xnee	2005-07-15	2007-07-04	566.0	597.0	31	719	1.969863014	15.73713491	Xnee	
xnee	2003-05-12	2014-05-06	313.0	1843.2	1530.2	4012	10.99178082	139.2131107	xnee	
xorriso	2010-02-22	2023-06-20	1331.2	2764.8	1433.6	4866	13.33150685	107.5347308	xorriso	
zile	2008-05-06	2021-05-04	356.0	1126.4	770.4	4746	13.00273973	59.24905183	zile	
