File Name	Original Release Date	Latest Release Date	Original Release Size	Latest Release Size	
File	Name	Name	Date	Date	
apl_1.1	2013-11-05	2013-11-05	9.3K	9.3K	
apl_1.2	2014-01-13	2014-01-13	9.7K	9.7K	
apl_1.3	2014-03-27	2014-03-27	9.7K	9.7K	
apl_1.4	2014-08-07	2014-08-07	9.9K	9.9K	
apl_1.5	2015-03-29	2015-03-29	11K	11K	
apl_1.6	2016-08-28	2016-08-28	11K	11K	
apl_1.7	2017-03-17	2017-03-17	10K	10K	
apl_1.8	2019-06-23	2019-06-23	11K	11K	
archimedes	2005-02-15	2013-04-29	350K	618K	
aris	2012-05-10	2014-03-06	421K	349K	
artanis	2017-05-19	2021-12-27	495K	527K	
artanis-0.2.12-f39e	2017-05-17	2017-05-17	493K	493K	
artanis-latest.12-f39e	2017-05-17	2017-05-17	493K	493K	
aspell	2004-02-11	2023-12-19	1.0M	3.4M	
aspell-lang	2010-11-22	2010-11-22	287K	287K	
auctex	2005-09-25	2024-01-17	838K	1.6M	
auctex-11.82	2006-01-16	2006-01-16	850K	850K	
auctex-11.83	2006-06-07	2006-06-07	862K	862K	
auctex-11.84	2007-01-12	2007-01-12	889K	889K	
auctex-11.85	2008-02-10	2008-02-10	922K	922K	
auctex-11.86	2010-02-21	2010-02-21	1.0M	1.0M	
auctex-11.87	2012-11-30	2012-11-30	1.0M	1.0M	
auctex-11.88	2014-10-29	2014-10-29	1.1M	1.1M	
auctex-11.89	2015-11-13	2015-11-13	1.2M	1.2M	
auctex-11.90	2017-01-10	2017-01-10	1.4M	1.4M	
auctex-11.91	2017-07-24	2017-07-24	1.4M	1.4M	
auctex-11.92	2017-12-03	2017-12-03	1.4M	1.4M	
autoconf-archive	2010-06-04	2014-02-28	815K	1.1M	
autoconf	1996-05-07	2023-12-22	372K	2.0M	
autogen	2001-03-14	2018-08-26	757K	1.8M	
libopts	2004-01-25	2012-12-27	50K	161K	
autogen-5.11.8	2011-03-07	2011-03-07	3.2M	3.2M	
autogen-5.6.3	2004-10-18	2004-10-18	2.1M	2.1M	
autogen-5.6.4	2004-10-24	2004-10-24	2.1M	2.1M	
autogen-5.6.5	2005-01-03	2005-01-03	1.6M	1.6M	
autogen-5.6.0	2004-02-25	2004-02-25	2.1M	2.1M	
autogen-5.7.1	2005-06-26	2005-06-26	2.4M	2.4M	
autogen-5.7.2	2005-07-28	2005-07-28	2.4M	2.4M	
autogen-5.7.3	2005-10-08	2005-10-08	2.4M	2.4M	
autogen-5.7	2005-04-25	2005-04-25	2.4M	2.4M	
autogen-5.8.1	2006-01-10	2006-01-10	2.4M	2.4M	
autogen-5.8.3	2006-02-03	2006-02-03	2.4M	2.4M	
autogen-5.8.4	2006-04-09	2006-04-09	2.5M	2.5M	
autogen-5.8.5	2006-08-12	2006-08-12	2.5M	2.5M	
autogen-5.8.6	2006-10-01	2006-10-01	2.5M	2.5M	
autogen-5.8.8	2006-12-18	2006-12-18	2.7M	2.7M	
autogen-5.8.9	2007-01-27	2007-01-27	2.7M	2.7M	
autogen-5.8	2005-12-15	2005-12-15	2.4M	2.4M	
autogen-5.9.1	2007-05-05	2007-05-05	2.7M	2.7M	
autogen-5.9.2	2007-07-28	2007-07-28	2.7M	2.7M	
autogen-5.9.3	2007-10-07	2007-10-07	2.7M	2.7M	
autogen-5.9.4	2007-12-23	2007-12-23	2.8M	2.8M	
autogen-5.9.5	2008-05-24	2008-05-24	2.8M	2.8M	
autogen-5.9.6	2008-11-16	2008-11-16	2.8M	2.8M	
autogen-5.9.7	2008-12-31	2008-12-31	2.8M	2.8M	
autogen-5.9.8	2009-05-16	2009-05-16	2.9M	2.9M	
autogen-5.9	2007-02-18	2007-02-18	2.7M	2.7M	
autogen-5.10.2	2010-06-25	2010-06-25	2.9M	2.9M	
autogen-5.11.2	2010-11-16	2010-11-16	3.1M	3.1M	
autogen-5.11.3	2010-11-18	2010-11-18	3.1M	3.1M	
autogen-5.11.4	2010-12-08	2010-12-08	3.1M	3.1M	
autogen-5.11.5	2010-12-13	2010-12-13	3.1M	3.1M	
autogen-5.11.6	2011-02-17	2011-02-17	3.2M	3.2M	
autogen-5.11	2010-07-25	2010-07-25	3.1M	3.1M	
autogen.info	2011-06-27	2011-06-27	147K	147K	
automake	1996-06-08	2021-10-03	179K	2.3M	
automake-1.4	2001-05-08	2002-07-27	358K	366K	
avl	1999-08-16	2007-08-26	126K	1.7M	
ballandpaddle	2008-08-02	2009-07-15	2.0M	7.4M	
barcode	1999-06-29	2013-03-29	97K	870K	1MB = 1024 kB
bash	1996-08-29	2023-11-09	1.4M	10M	
bash-4.0	2009-01-12	2009-01-12	3.8M	3.8M	
bash-4.4	2015-10-12	2016-08-22	8.2M	8.5M	
bash-5.0	2018-05-22	2018-12-20	9.6M	9.7M	
bash-5.1	2020-06-16	2020-11-17	9.9M	9.9M	
bash-5.2	2022-01-20	2022-09-09	10M	10M	
bash-doc	1996-12-31	2006-10-11	933K	2.1M	
readline	1994-08-04	2022-09-26	398K	2.9M	
readline-7.0	2015-10-12	2016-08-22	2.8M	2.8M	
bayonne	2003-07-16	2011-12-18	4.1M	456K	
bayonne2	2005-06-06	2007-01-18	486K	4.8M	
bayonne2-1.0.0	2005-09-26	2005-09-26	4.5M	4.5M	
BengaliM	2003-08-14	2003-08-14	1.0M	1.0M	
EnglishF	2003-08-14	2003-08-14	375K	375K	
EnglishM	2003-08-14	2003-08-14	781K	781K	
FrenchF	2003-08-14	2003-08-14	378K	378K	
FrenchM	2003-08-14	2003-08-14	302K	302K	
ItalianF	2003-08-14	2003-08-14	773K	773K	
ItalianM	2003-08-14	2003-08-14	1.1M	1.1M	
RussianF	2003-08-14	2003-08-14	1.4M	1.4M	
RussianM	2003-08-14	2003-08-14	1.4M	1.4M	
UsEngF	2003-08-14	2003-08-14	533K	533K	
UsEngM	2003-08-14	2003-08-14	484K	484K	
bc	1994-11-21	2017-04-09	123K	410K	
binutils	1996-10-01	2024-01-29	4.3M	49M	
bison	1996-05-11	2021-09-25	281K	5.4M	
bool	2001-05-09	2001-11-26	70K	88K	
bpel2owfn	2007-04-25	2007-07-30	311K	1.6M	
bpel2owfn-2.0.0-i686-linux	2007-04-25	2007-04-25	728K	728K	
bpel2owfn-2.0.0-i686	2007-04-25	2007-04-25	894K	894K	
bpel2owfn-2.0.0-mac	2007-04-25	2007-04-25	1.0M	1.0M	
bpel2owfn-2.0.0-sparc	2007-04-25	2007-04-25	882K	882K	
bpel2owfn-2.0.1-i686-linux	2007-05-11	2007-05-11	916K	916K	
bpel2owfn-2.0.1-i686	2007-05-11	2007-05-11	1.0M	1.0M	
bpel2owfn-2.0.1-mac	2007-05-11	2007-05-11	1.3M	1.3M	
bpel2owfn-2.0.1-sparc	2007-05-11	2007-05-11	1.1M	1.1M	
bpel2owfn-2.0.2-i686-linux	2007-06-15	2007-06-15	945K	945K	
bpel2owfn-2.0.2-i686	2007-06-15	2007-06-15	1.1M	1.1M	
bpel2owfn-2.0.2-mac	2007-06-15	2007-06-15	1.3M	1.3M	
bpel2owfn-2.0.2-sparc	2007-06-15	2007-06-15	1.2M	1.2M	
bpel2owfn-2.0.3-i686-linux	2007-07-20	2007-07-20	950K	950K	
bpel2owfn-2.0.3-i686	2007-07-20	2007-07-20	1.1M	1.1M	
bpel2owfn-2.0.3-mac	2007-07-20	2007-07-20	1.3M	1.3M	
bpel2owfn-2.0.3-sparc	2007-07-20	2007-07-20	1.2M	1.2M	
c-graph	2012-04-26	2019-01-19	1.3M	1.4M	
c-intro-and-ref	2023-10-15	2023-10-15	1.5M	1.5M	
ccaudio	2002-03-09	2006-04-24	147K	335K	
ccaudio2	2004-11-28	2015-12-13	359K	431K	
ccd2cue	2014-01-23	2015-03-12	583K	611K	
ccrtp	2002-03-09	2015-03-29	209K	747K	
libzrtpcpp	2006-10-01	2013-07-01	442K	251K	
ccscript	2002-04-12	2015-12-13	211K	391K	
ccscript3	2005-01-27	2009-08-26	336K	402K	
ccscript3-1.0.0	2005-09-26	2005-09-26	362K	362K	
cfengine	1997-06-12	2003-04-08	830K	1.1M	
cflow	2005-10-13	2021-12-30	488K	1.1M	
cgicc	1999-05-14	2023-10-22	251K	2.7M	
gnuchess	2002-10-31	2021-07-13	161K	784K	
cim	1999-12-26	2014-05-18	407K	742K	
classpath	2003-12-05	2012-03-16	5.3M	11M	
classpath-0.19	2005-11-03	2005-11-03	6.5M	6.5M	
classpath-0.20	2006-01-13	2006-01-13	6.8M	6.8M	
classpath-0.90	2006-03-06	2006-03-06	7.6M	7.6M	
classpath-0.91	2006-05-15	2006-05-15	8.0M	8.0M	
classpath-0.92	2006-08-09	2006-08-09	9.0M	9.0M	
classpath-0.93	2006-12-08	2006-12-08	9.4M	9.4M	
gjdoc	2005-02-22	2008-04-21	686K	735K	
inetlib	2004-06-14	2010-03-25	147K	250K	
activation	2004-04-21	2013-11-13	217K	284K	
comm	2004-04-21	2004-04-21	127K	127K	
crypto-build	2002-04-17	2002-04-17	245K	245K	
jaxp	2002-04-15	2005-01-04	358K	1.3M	
mail	2004-04-21	2007-04-28	337K	310K	
servletapi	2013-11-04	2018-01-12	151K	230K	
idescribe	2001-12-17	2001-12-17	228K	228K	
lispdebug	2001-12-17	2001-12-17	652K	652K	
manual	2001-12-17	2001-12-17	449K	449K	
trees	2001-12-17	2001-12-17	12K	12K	
with	2001-12-17	2001-12-17	4.8K	4.8K	
xterm	2001-12-17	2001-12-17	4.0K	4.0K	
clisp	2001-12-17	2010-07-07	8.9M	9.4M	
clio.clisp	2001-12-17	2001-12-17	347K	347K	
clue+clio+xit.clisp	2001-12-17	2001-12-17	2.1M	2.1M	
clue+clio.for	2001-12-17	2001-12-17	261K	261K	
clue+clio.orig	2001-12-17	2001-12-17	936K	936K	
clue.clisp	2001-12-17	2001-12-17	661K	661K	
clx	2001-12-17	2001-12-17	486K	486K	
clx.sept92f.clisp+gcl	2001-12-17	2001-12-17	280K	280K	
clx.sept92f.clisp	2001-12-17	2001-12-17	280K	280K	
clxman	2001-12-17	2001-12-17	173K	173K	
garnet21.clisp	2001-12-17	2001-12-17	1.1M	1.1M	
garnet22.orig	2001-12-17	2001-12-17	2.4M	2.4M	
garnet22	2001-12-17	2001-12-17	2.4M	2.4M	
garnet30.clisp	2001-12-17	2001-12-17	2.3M	2.3M	
garnet30.orig	2001-12-17	2001-12-17	2.3M	2.3M	
gdi	2002-11-13	2002-11-13	158K	158K	
nclx-1996-10	2001-12-17	2001-12-17	125K	125K	
nclx-1997-06	2001-12-17	2001-12-17	127K	127K	
pcl+clx.sept92f.clisp	2001-12-17	2001-12-17	743K	743K	
pcl+clx.sept92f.orig	2001-12-17	2001-12-17	736K	736K	
pcl.sept92f.clisp	2001-12-17	2001-12-17	363K	363K	
screamer.clisp	2001-12-17	2001-12-17	377K	377K	
screamer.orig	2001-12-17	2001-12-17	383K	383K	
series.clisp	2001-12-17	2001-12-17	94K	94K	
xp	2001-12-17	2001-12-17	10K	10K	
xp.clisp	2001-12-17	2001-12-17	67K	67K	
xp.orig	2001-12-17	2001-12-17	67K	67K	
clisp-alpha-dec	2001-12-17	2001-12-17	4.0M	4.0M	
clisp-alpha-redhat	2001-12-17	2001-12-17	3.4M	3.4M	
clisp-hppa2.0-hp	2001-12-17	2001-12-17	3.9M	3.9M	
clisp-i386-freebsd40	2001-12-17	2001-12-17	3.0M	3.0M	
clisp-i386-redhat61	2001-12-17	2001-12-17	3.1M	3.1M	
clisp-i386-slackware7	2001-12-17	2001-12-17	3.1M	3.1M	
clisp-i386	2001-12-17	2001-12-17	5.2M	5.2M	
clisp-i386-suse53	2001-12-17	2001-12-17	3.1M	3.1M	
clisp-i386-suse60	2001-12-17	2001-12-17	3.1M	3.1M	
clisp-i386-suse63	2001-12-17	2001-12-17	3.1M	3.1M	
clisp-ia64	2001-12-17	2001-12-17	2.8M	2.8M	
clisp-mips-sgi	2001-12-17	2001-12-17	3.9M	3.9M	
clisp-powerpc-apple	2001-12-17	2001-12-17	2.8M	2.8M	
clisp-powerpc-unknown	2001-12-17	2001-12-17	2.7M	2.7M	
clisp-rs6000-ibm	2001-12-17	2001-12-17	3.9M	3.9M	
clisp-sparc-redhat51	2001-12-17	2001-12-17	3.3M	3.3M	
clisp-sparc-sun	2001-12-17	2001-12-17	5.4M	5.4M	
clisp-2.25.1-powerpc-apple	2001-12-17	2001-12-17	3.2M	3.2M	
clisp-2.27-PowerMacintosh-powerpc-Darwin	2001-12-17	2001-12-17	3.5M	3.5M	
clisp-2.27-i686-unknown-Linux	2001-12-17	2001-12-17	3.6M	3.6M	
clisp-2.27-sun4u-sparc-SunOS	2001-12-17	2001-12-17	6.4M	6.4M	
clisp-2.28-i386-i386-freebsd-4.3	2002-03-04	2002-03-04	3.6M	3.6M	
clisp-2.28-i686-unknown-cygwin_me-4.90	2002-06-03	2002-06-03	8.2M	8.2M	
clisp-2.28-i686-unknown-linux	2002-03-04	2002-03-04	3.7M	3.7M	
clisp-2.29-i386-i386-freebsd-4.6	2002-07-29	2002-07-29	3.1M	3.1M	
clisp-2.29-i386-netbsd	2002-12-16	2002-12-16	3.1M	3.1M	
clisp-2.29-i686-unknown-cygwin_nt-5.0	2002-08-02	2002-08-02	5.1M	5.1M	
clisp-2.29-i686-unknown-linux-2.4.18	2002-07-25	2002-07-25	3.9M	3.9M	
clisp-2.29-ppc-powerpc-darwin	2002-07-31	2002-07-31	3.4M	3.4M	
clisp-2.29-sun4-sparc-sunos	2002-07-29	2002-07-29	5.8M	5.8M	
clisp-2.30-i386-i386-freebsd-4.3	2002-09-14	2002-09-14	2.6M	2.6M	
clisp-2.30-i686-unknown-cygwin32	2002-10-01	2002-10-01	3.6M	3.6M	
clisp-2.30-i686-unknown-linux-2.4.18	2002-09-13	2002-09-13	3.2M	3.2M	
clisp-2.30-sun4-sparc-sunos	2002-09-18	2002-09-18	4.1M	4.1M	
combine	2004-05-12	2013-07-29	616K	1.0M	
commoncpp2	2003-07-19	2010-11-01	811K	887K	
ucommon	2008-04-16	2015-12-13	468K	818K	
complexity	2011-05-15	2020-11-22	641K	647K	
coreutils	2003-04-02	2023-08-29	5.7M	14M	
cppi	2005-09-13	2005-09-13	342K	342K	
cpio	1996-01-22	2024-01-14	181K	2.2M	
CSSC	2004-10-16	2019-05-07	680K	2.2M	
cursynth	2014-03-14	2014-04-13	762K	764K	
dap	2001-09-05	2014-04-16	289K	1.9M	
datamash	2014-07-15	2022-07-23	1.5M	2.3M	
ddd	2023-05-09	2023-05-09	5.5M	5.5M	
ddrescue	2009-02-21	2012-06-11	47K	102K	
dejagnu	1996-02-15	2021-06-16	1.5M	607K	
denemo	2010-01-07	2022-03-11	10M	17M	
dico	2009-03-31	2021-04-27	1.6M	3.8M	
diction	1998-08-27	2007-09-17	67K	138K	
diffutils	1994-10-02	2011-09-02	305K	1.9M	
direvent	2014-09-06	2021-12-30	725K	965K	
dominion	2005-02-01	2005-02-17	481K	474K	
easejs	2014-03-16	2017-11-07	708K	883K	
ed	2009-01-31	2009-07-10	88K	89K	
gecb	2010-04-08	2013-03-15	348K	329K	
gidfwizard	2010-04-08	2013-03-15	364K	344K	
gnuedma	2010-04-08	2013-03-15	1.1M	1.2M	
electric	2000-05-09	2004-07-16	2.9M	4.3M	
elisp-manual-21	2002-03-16	2002-03-16	2.3M	2.3M	
emacs	2005-02-17	2024-01-18	19M	75M	
emacs-lisp-intro	2001-12-17	2001-12-17	488K	488K	
leim	2005-02-17	2005-02-17	3.1M	3.1M	
emms	2008-09-16	2020-10-27	101K	353K	
enscript	1996-07-05	2012-09-25	364K	1.3M	
fdisk	2006-12-11	2011-09-18	361K	452K	
gnufdisk	2011-10-10	2011-12-04	2.7M	3.1M	
ferret	2008-11-16	2008-11-16	481K	481K	
gerwin	2005-05-31	2005-05-31	203K	203K	
win-gerwin	2005-05-31	2005-05-31	1.3M	1.3M	
findutils	1994-11-05	2015-12-28	288K	3.6M	
fisicalab	2014-02-04	2023-10-16	6.8M	4.3M	
fisicalab-0.3.5	2015-06-01	2015-06-01	7.4M	7.4M	
fisicalab-0.3.4-gnu-linux	2014-03-20	2014-03-20	30M	30M	
fisicalab-0.3.5-gnulinux	2015-05-29	2015-05-29	32M	32M	
fisicalab-mac-0.3.5	2015-06-10	2015-06-10	6.4M	6.4M	
fisicalab-mac	2015-05-29	2015-05-29	6.4M	6.4M	
foliot	2018-06-20	2018-06-20	310K	310K	
foliot-0.9.6	2016-04-24	2018-03-25	306K	306K	
fontopia	2016-05-02	2018-05-20	454K	517K	
fontutils	2000-04-01	2000-04-01	807K	807K	
dfarc	2008-08-29	2018-06-06	192K	329K	
freedink	2008-08-29	2019-02-16	746K	1.5M	
freedink-data	2008-09-20	2019-01-20	56M	68M	
liberation-fonts	2017-03-04	2017-03-04	2.2M	2.2M	
freefont-otf	2010-09-23	2012-05-03	4.1M	4.3M	
freefont-sfd	2005-12-06	2010-09-19	4.3M	5.5M	
freefont	2005-04-07	2005-04-07	2.9M	2.9M	
freefont-src	2012-05-03	2012-05-03	6.2M	6.2M	
freefont-ttf	2005-12-06	2010-09-19	1.9M	3.2M	
freeipmi	2009-01-21	2024-01-28	1.8M	3.3M	
freetalk	2016-12-29	2022-06-09	132K	324K	
g-golf-0.8.0-rc	2023-11-01	2023-11-01	1.6M	1.6M	
g-golf-0.8.0	2023-01-09	2023-09-13	1.3M	1.4M	
g-golf-0.8.0-alpha	2023-10-06	2023-10-06	1.5M	1.5M	
gama	2003-11-13	2024-01-10	456K	15M	
qgama	2022-07-27	2023-03-07	829K	134K	
garpd	2010-12-06	2010-12-06	312K	312K	
gawk	1996-12-28	2023-11-02	933K	6.0M	
gawk-3.0.2	1996-12-28	1996-12-28	866K	866K	
gawk-3.0.3	1997-05-16	1997-05-16	351K	351K	
gawk-3.0.4	1999-06-30	1999-06-30	352K	352K	
gawk-3.0.5	2000-06-26	2000-06-26	353K	353K	
gawk-3.0.6	2000-08-08	2000-08-08	354K	354K	
gawk-3.1.0	2001-06-03	2001-06-03	548K	548K	
gawk-3.1.1	2002-05-08	2002-05-08	576K	576K	
gawk-3.1.2	2003-03-23	2003-03-23	604K	604K	
gawk-3.1.3	2003-07-08	2003-07-08	1.1M	1.1M	
gawk-3.1.4	2004-08-01	2004-08-01	599K	599K	
gawk-3.1.5	2005-08-12	2005-08-12	601K	601K	
gawk-3.1.6	2007-10-25	2007-10-25	597K	597K	
gawk-doc	1993-05-20	1993-05-20	194K	194K	
gawk-ps	1993-05-20	1993-05-20	281K	281K	
gcal	1997-09-29	2017-01-22	1.3M	3.0M	
g++-2.5.0	1993-10-29	1993-10-29	185K	185K	
gcc	1992-09-20	2023-07-27	1.8M	146M	
gcc-2.3.3	2001-01-25	2001-01-25	214K	214K	
gcc-vms	1992-11-24	1992-11-24	836K	836K	
gnu-objc-issues	1993-03-08	1993-03-08	169K	169K	
gcc-chill	2001-03-22	2001-03-22	566K	566K	
gcc-core	2001-03-22	2013-04-12	8.5M	37M	
gcc-everything	2001-03-22	2001-06-18	12M	17M	
gcc-g++	2001-03-22	2013-04-12	1.6M	8.8M	
gcc-g77	2001-03-22	2006-03-10	1.2M	1.1M	
gcc-java	2001-03-22	2013-04-12	553K	23M	
gcc-objc	2001-03-22	2013-04-12	274K	446K	
gcc-testsuite	2001-06-18	2013-04-12	912K	8.6M	
gcc-ada	2002-05-15	2013-04-12	4.0M	7.8M	
gcc-fortran	2007-01-31	2013-04-12	853K	2.2M	
gcc-go	2011-03-25	2013-04-12	2.4M	2.4M	
gcide	2012-03-04	2021-04-27	17M	17M	
gcl	1997-08-19	2023-01-17	1.8M	11M	
gcl_2.6.0cvs	2003-07-16	2003-07-16	9.6M	9.6M	
clpvm	2002-05-17	2002-05-17	281K	281K	
gcompris	2001-06-03	2001-09-13	3.3M	4.2M	
gdb	2002-07-23	2023-12-03	14M	39M	
gdbm	1995-07-15	2022-02-04	80K	1.1M	
gengen	2006-11-14	2010-09-06	325K	485K	
gengetopt	2000-08-01	2012-11-07	112K	1.0M	
gettext	2001-09-15	2023-11-19	1.3M	26M	
gforth	1996-12-18	2014-07-09	631K	2.4M	
ggradebook	2000-04-10	2000-04-10	144K	144K	
ghostscript	1998-12-19	2003-12-22	2.5M	4.7M	
ghostscript-fonts-other	1998-06-06	1998-06-06	781K	781K	
ghostscript-fonts-std	1998-12-19	1998-12-19	1.4M	1.4M	
gnu-gs	2000-07-26	2000-07-26	2.7M	2.7M	
gnu-gs-fonts-other	2000-01-13	2000-02-23	777K	777K	
gnu-gs-fonts-std	1999-12-29	2000-02-23	1.8M	1.8M	
jpegsrc.v6b	2000-02-23	2000-02-23	599K	599K	
libpng	2000-02-23	2000-02-23	220K	220K	
zlib	2000-02-23	2000-02-23	165K	165K	
gift	2002-03-04	2005-03-24	623K	775K	
gnuit	2008-01-22	2009-02-23	741K	873K	
git	1997-01-28	2000-03-13	328K	417K	
glibc-1.09	1994-11-07	1994-11-07	29K	29K	
glibc	1996-05-27	2023-07-31	1.6M	36M	
glibc-2.0.1.bin.alpha	1997-02-04	1997-02-04	8.3M	8.3M	
glibc-2.0.1.bin.m68k	1997-02-13	1997-02-13	2.3M	2.3M	
glibc-crypt	2000-03-01	2000-03-01	40K	40K	
glibc-libidn	2005-01-26	2009-05-17	121K	124K	
glibc-linuxthreads	1997-02-04	2005-11-03	69K	320K	
glibc-localedata	1997-02-04	1997-12-29	488K	510K	
glibc-ports	2005-04-07	2012-06-30	191K	1.8M	
nss_db	2000-11-10	2000-11-10	126K	126K	
nss_lwres	2000-11-10	2001-01-11	107K	107K	
global	2011-09-07	2023-11-20	1.2M	2.9M	
glpk	2009-01-09	2020-12-16	2.1M	3.9M	
gmp	1993-05-21	2023-07-30	106K	3.2M	
gnash	2006-05-06	2012-01-31	1.4M	5.5M	
gnats	1993-12-11	2015-02-26	636K	1.2M	
gnatsweb	2001-06-27	2003-07-29	59K	86K	
gnu-c-manual	2008-04-06	2016-08-27	46K	61K	
gnu-crypto-2.1.0	2005-10-23	2005-10-23	1.6M	1.6M	
gnu-crypto	2005-01-17	2005-10-23	4.6M	4.4M	
gnu-crypto-2.0.0	2005-01-17	2005-01-17	2.1M	2.1M	
gnu-crypto-2.0.1-bin	2005-01-17	2005-01-17	1.3M	1.3M	
gnu-crypto-2.0.1	2005-01-17	2005-01-17	1.7M	1.7M	
gnu-pw-mgr	2013-11-07	2020-10-01	1.0M	1.5M	
gnuastro	2016-05-25	2023-10-20	1.7M	7.2M	
gnuastro-0.16.1	2021-10-11	2021-10-11	5.8M	5.8M	
gnubatch	2009-02-23	2014-04-22	10M	9.3M	
gnubg-release-1.06.002	2019-09-04	2019-09-04	13M	13M	
gnubg-release-1.07.001	2022-11-15	2022-11-15	13M	13M	
gnubik	2003-11-21	2017-04-03	313K	428K	
gnuboot-website-0.1	2023-12-11	2023-12-30	15M	15M	
acpica-unix2	2023-10-17	2023-10-17	1.5M	1.5M	
gnucap	2001-11-09	2002-03-28	1.1M	1.2M	
gnu-cobol	2014-01-21	2014-01-21	1.0M	1.0M	
gnucobol	2017-09-06	2023-07-28	2.5M	5.2M	
gnudos	2014-04-19	2018-05-13	2.1M	621K	
gnugo	1995-11-16	2009-02-19	27K	3.1M	
gnujump	2012-07-24	2012-07-24	2.4M	2.4M	
speedx	2000-06-20	2000-06-20	791K	791K	
gnumach	1997-04-14	2016-12-18	2.4M	3.9M	
gnun	2008-12-06	2023-04-12	280K	518K	
gnunet	2020-11-14	2023-09-24	7.3M	9.5M	
gnunet-fuse	2020-11-14	2023-09-24	209K	217K	
gnunet-gtk	2020-11-14	2023-09-24	1.5M	1.5M	
gnunet-java-0.10.1	2014-04-08	2014-04-08	3.1M	3.1M	
gnunet-qt	2009-12-29	2009-12-29	449K	449K	
gnurl	2020-09-16	2020-09-16	3.3M	3.3M	
libgnunetchat	2022-04-12	2022-10-29	81K	434K	
messenger-cli	2022-09-09	2022-09-09	24K	24K	
messenger-gtk	2022-05-01	2022-05-01	128K	128K	
gnupod	2003-03-15	2003-03-15	95K	95K	
gnupod-0.29	2003-05-18	2003-05-18	100K	100K	
gnuprolog-java_0.2.5	2010-08-27	2010-11-23	2.1K	2.2K	
gnuprolog	2010-08-27	2011-01-06	187K	188K	
gnuprolog-java_0.2.6	2011-01-06	2011-01-06	2.9K	2.9K	
gnuradio	2006-10-14	2010-06-03	3.0M	6.7M	
gr-howto-write-a-block	2006-10-14	2010-06-03	371K	406K	
gnuradio-core-2.2	2009-01-26	2009-01-26	3.7M	3.7M	
gnuradio-core	2009-01-26	2009-01-26	900K	900K	
gnuradio-core-2.6	2009-01-26	2009-01-26	5.6M	5.6M	
gnuradio-examples	2009-01-26	2009-01-26	147K	147K	
gr-audio-alsa	2009-01-26	2009-01-26	363K	363K	
gr-audio-jack	2009-01-26	2009-01-26	376K	376K	
gr-audio-oss	2009-01-26	2009-01-26	339K	339K	
gr-audio-portaudio	2009-01-26	2009-01-26	394K	394K	
gr-gsm-fr-vocoder	2009-01-26	2009-01-26	393K	393K	
gr-mc4020	2009-01-26	2009-01-26	339K	339K	
gr-usrp	2009-01-26	2009-01-26	366K	366K	
gr-wxgui	2009-01-26	2009-01-26	303K	303K	
mc4020	2009-01-26	2009-01-26	85K	85K	
usrp	2009-01-26	2009-01-26	448K	448K	
gnurobots	1999-05-31	2008-08-03	60K	173K	
gnuschool	2007-05-17	2007-08-27	298K	302K	
gnushogi	1995-05-25	2014-02-17	184K	374K	
xshogi	2014-02-04	2014-02-04	250K	250K	
gnuspeech	2015-10-14	2015-10-14	19M	19M	
gnuspeechsa	2015-10-14	2015-10-14	798K	798K	
gnuspool	2008-08-22	2010-10-21	12M	11M	
guile-gnutls	2022-12-07	2023-08-24	669K	730K	
gnutrition	2010-04-21	2012-09-01	2.2M	9.0M	
icecat-3.0.2-g1	2008-09-24	2008-09-24	8.6M	8.6M	
icecat-3.0.2	2008-09-24	2008-09-24	41M	41M	
icecat	2012-07-12	2013-10-16	89M	136M	
icecat-17.0.1	2012-12-01	2012-12-01	25M	25M	
icecat-24.0	2013-10-16	2013-10-16	30M	30M	
goptical	2012-01-07	2012-01-07	2.1M	2.1M	
gperf	2000-09-26	2017-01-05	440K	1.2M	
gprofng-gui	2023-10-31	2024-01-22	1.5M	1.5M	
gprolog	1999-11-29	2021-07-08	1.2M	3.6M	
greg	1998-12-09	2001-02-12	140K	197K	
grep	1996-10-01	2023-05-13	124K	2.7M	
