File Name	Original Release Date	Latest Release Date	Original Release Size	Latest Release Size	
File	Name	Name	Date	Date	
librejs-4.9.3	2013-03-20	2013-03-20	706K	706K	
libsigsegv	2002-08-30	2022-01-07	249K	454K	
libasn1	2009-06-08	2009-06-08	321K	321K	
libtasn1	2009-06-08	2022-08-23	370K	1.7M	
libtool	1997-07-10	2022-03-17	226K	1.8M	
libunistring	2009-04-27	2022-10-16	2.2M	4.1M	
libxmi	1999-09-27	2000-06-21	291K	296K	
lightning	2003-10-21	2023-04-27	373K	1.7M	
liquidwar6	2011-10-11	2015-05-06	24M	25M	
lsh	2009-03-07	2013-06-26	2.1M	1.5M	
m4	1994-11-06	2021-05-28	310K	2.8M	
macchanger	2004-05-10	2013-03-26	228K	344K	
mailman	1999-10-11	2001-05-07	337K	400K	
mailutils	2002-09-04	2024-01-06	1.6M	7.5M	
make	1996-08-28	2023-02-26	581K	2.2M	
marst	2000-08-01	2013-03-09	118K	1.1M	
Maverik	1999-03-30	1999-09-07	1.4M	1.4M	
MaverikDemos	1999-03-30	1999-09-07	1.9M	1.9M	
maverik	2000-10-13	2013-03-15	1.6M	4.9M	
maverik-demos	2000-10-13	2009-01-11	1.9M	2.0M	
mc	1996-06-11	2007-09-13	831K	3.6M	
mc-4.6.2	2007-09-13	2007-09-13	3.8M	3.8M	
mc-4.6.0	2007-09-13	2007-09-19	3.8M	2.3M	
mc-4.6.0-HP	2007-09-19	2007-09-19	1.3M	1.3M	
mc-4.6.1	2007-09-13	2007-09-13	3.7M	3.7M	
mcron	2004-05-22	2023-03-26	264K	369K	
mcsim	1997-08-14	2020-06-03	346K	2.1M	
mdk	2004-02-01	2020-10-31	921K	1.1M	
mes	2018-08-26	2023-12-03	436K	721K	
metahtml	1996-09-19	1999-08-16	1.4M	2.4M	
mifluz	2000-12-23	2014-04-17	1.6M	1.6M	
miscfiles	1996-07-08	2010-11-16	1.3M	1.5M	
mit-scheme-20050320-ix86-gnu	2005-03-20	2005-03-20	18M	18M	
mit-scheme-20050320	2005-03-20	2005-03-20	1.1M	1.1M	
mit-scheme	2004-01-01	2023-01-07	4.2M	32M	
mit-scheme-20050724-ix86-gnu	2005-07-24	2005-07-24	18M	18M	
mit-scheme-20050724	2005-07-24	2005-07-24	1.1M	1.1M	
mit-scheme-20050912-ix86-gnu	2005-09-12	2005-09-12	18M	18M	
mit-scheme-20050912	2005-09-12	2005-09-12	1.1M	1.1M	
mit-scheme-20060201-ix86-gnu	2006-02-02	2006-02-02	18M	18M	
mit-scheme-20060201	2006-02-02	2006-02-02	1.1M	1.1M	
mit-scheme-20060414-ix86-gnu	2006-04-16	2006-04-16	19M	19M	
mit-scheme-20060414	2006-04-16	2006-04-16	1.1M	1.1M	
mit-scheme-20060906-ix86-gnu	2006-09-23	2006-09-23	19M	19M	
mit-scheme-20060906	2006-09-23	2006-09-23	1.1M	1.1M	
mit-scheme-20070205-ix86-apple	2007-02-07	2007-02-07	18M	18M	
mit-scheme-20070205-ix86-gnu	2007-02-07	2007-02-07	18M	18M	
mit-scheme-20070205	2007-02-07	2007-02-07	1.1M	1.1M	
mit-scheme-20070623-ix86-apple	2007-06-29	2007-06-29	20M	20M	
mit-scheme-20070623-ix86-gnu	2007-06-29	2007-06-29	20M	20M	
mit-scheme-20070623-ix86	2007-06-29	2007-06-29	20M	20M	
mit-scheme-20070623	2007-06-29	2007-06-29	871K	871K	
mit-scheme-c	2007-06-29	2014-05-21	13M	16M	
mit	2004-01-01	2009-01-24	4.0M	4.0M	
mit-scheme-20070909-ix86-apple	2007-10-01	2007-10-01	20M	20M	
mit-scheme-20070909-ix86-gnu	2007-10-01	2007-10-01	20M	20M	
mit-scheme-20070909-ix86	2007-10-01	2007-10-01	20M	20M	
mit-scheme-20070909	2007-10-01	2007-10-01	872K	872K	
mit-scheme-c-20070909-ix86	2007-10-01	2007-10-01	26M	26M	
mit-scheme-c-20070909-powerpc-apple	2007-10-01	2007-10-01	27M	27M	
mit-scheme-c-20070909-sparc-sun	2007-10-01	2007-10-01	30M	30M	
mit-scheme-20080130-ix86-apple	2008-01-31	2008-01-31	19M	19M	
mit-scheme-20080130-ix86-gnu	2008-01-31	2008-01-31	20M	20M	
mit-scheme-20080130	2008-01-31	2008-01-31	872K	872K	
mit-scheme-c-20080130-x86_64-apple	2008-01-31	2008-01-31	29M	29M	
mit-scheme-20090107-ix86-apple	2009-01-24	2009-01-24	21M	21M	
mit-scheme-20090107-ix86-gnu	2009-01-24	2009-01-24	21M	21M	
mit-scheme-20090107	2009-01-24	2009-01-24	877K	877K	
mit-scheme-7.7.1-doc	2003-12-31	2003-12-31	467K	467K	
mit-scheme-7.7.1-ix86	2003-12-31	2003-12-31	16M	16M	
mit-scheme-7.7.1-ix86-gnu	2003-12-31	2003-12-31	16M	16M	
