File Name	Date Last Modified	Latest Release Size
aris-2.1.tar.gz	2013-08-30	365K
aris-2.2.tar.gz	2014-03-06	349K
artanis-0.2.1.tar.gz	2017-05-19	495K
artanis-0.2.3.tar.gz	2018-03-05	514K
artanis-0.2.4.tar.gz	2018-03-22	497K
artanis-0.2.5.tar.gz	2018-05-07	506K
artanis-0.2.12-f39e-dirty.tar.gz	2017-05-17	493K
artanis-0.3.1.tar.gz	2018-12-30	523K
artanis-0.3.2.tar.gz	2019-06-10	519K
artanis-0.3.tar.gz	2018-12-30	538K
artanis-0.4.1.tar.gz	2019-12-25	533K
artanis-0.4.tar.gz	2019-10-06	531K
artanis-0.5.1.tar.gz	2021-12-27	527K
artanis-0.5.tar.gz	2021-02-12	527K
artanis-latest.12-f39e-dirty.tar.gz	2017-05-17	493K
artanis-latest.tar.gz	2021-12-27	527K
aspell-0.50.5.tar.gz	2004-02-11	1.0M
aspell-0.60.1.1.tar.gz	2004-11-20	1.5M
aspell-0.60.1.tar.gz	2004-11-07	1.5M
aspell-0.60.2.tar.gz	2004-12-19	1.5M
aspell-0.60.3.tar.gz	2005-06-28	1.6M
aspell-0.60.4.tar.gz	2005-10-19	1.6M
aspell-0.60.5.tar.gz	2006-12-19	1.7M
aspell-0.60.6.1.tar.gz	2011-07-04	1.8M
aspell-0.60.6.tar.gz	2008-04-16	1.7M
aspell-0.60.7.tar.gz	2019-07-29	2.0M
aspell-0.60.8.1.tar.gz	2023-12-19	3.4M
aspell-0.60.8.tar.gz	2019-10-12	3.3M
aspell-0.60.tar.gz	2004-08-27	1.5M
aspell-lang-20101122.tar.gz	2010-11-22	287K
auctex-11.81.tar.gz	2005-09-25	838K
auctex-11.82-pkg.tar.gz	2006-01-16	850K
auctex-11.82.tar.gz	2005-12-17	853K
auctex-11.83-pkg.tar.gz	2006-06-07	862K
auctex-11.83.tar.gz	2006-06-07	869K
auctex-11.84-pkg.tar.gz	2007-01-12	889K
auctex-11.84.tar.gz	2007-01-12	906K
auctex-11.85-pkg.tar.gz	2008-02-10	922K
auctex-11.85.tar.gz	2008-02-10	1.0M
auctex-11.86-pkg.tar.gz	2010-02-21	1.0M
auctex-11.86.tar.gz	2010-02-21	1.1M
auctex-11.87-pkg.tar.gz	2012-11-30	1.0M
auctex-11.87.tar.gz	2012-11-30	1.1M
auctex-11.88-pkg.tar.gz	2014-10-29	1.1M
auctex-11.88.tar.gz	2014-10-29	1.2M
auctex-11.89-pkg.tar.gz	2015-11-13	1.2M
auctex-11.89.tar.gz	2015-11-13	1.3M
auctex-11.90-pkg.tar.gz	2017-01-10	1.4M
auctex-11.90.tar.gz	2017-01-10	1.4M
auctex-11.91-pkg.tar.gz	2017-07-24	1.4M
auctex-11.91.tar.gz	2017-07-24	1.4M
auctex-11.92-pkg.tar.gz	2017-12-03	1.4M
auctex-11.92.tar.gz	2017-12-03	1.4M
auctex-12.1.tar.gz	2017-12-10	1.4M
auctex-12.2.tar.gz	2019-10-30	1.4M
auctex-12.3.tar.gz	2020-10-18	1.5M
auctex-13.1.tar.gz	2022-02-20	1.5M
auctex-13.2.tar.gz	2023-04-23	1.6M
auctex-13.3.tar.gz	2024-01-17	1.6M
autoconf-archive-2010.06.04.tar.gz	2010-06-04	815K
autoconf-archive-2010.07.06.tar.gz	2010-07-06	815K
autoconf-archive-2010.08.19.tar.gz	2010-08-19	817K
autoconf-archive-2010.10.26.tar.gz	2010-10-26	824K
autoconf-archive-2011.01.02.tar.gz	2011-01-02	830K
autoconf-archive-2011.03.17.tar.gz	2011-03-17	836K
autoconf-archive-2011.04.12.tar.gz	2011-04-12	836K
autoconf-archive-2011.07.17.tar.gz	2011-07-17	856K
autoconf-archive-2011.09.17.tar.gz	2011-09-17	878K
autoconf-archive-2011.12.21.tar.gz	2011-12-21	861K
autoconf-archive-2012.04.07.tar.gz	2012-04-07	875K
autoconf-archive-2012.09.08.tar.gz	2012-09-08	1.0M
autoconf-archive-2012.11.14.tar.gz	2012-11-14	1.0M
autoconf-archive-2013.02.02.tar.gz	2013-02-02	900K
autoconf-archive-2013.04.06.tar.gz	2013-04-06	1.0M
autoconf-archive-2013.06.09.tar.gz	2013-06-09	1.0M
autoconf-archive-2013.11.01.tar.gz	2013-11-01	1.1M
autoconf-archive-2014.02.28.tar.gz	2014-02-28	1.1M
autoconf-2.10.tar.gz	1996-05-07	372K
autoconf-2.11.tar.gz	1996-11-18	398K
autoconf-2.12.tar.gz	1996-11-26	401K
autoconf-2.13.tar.gz	1999-01-15	433K
autoconf-2.50.tar.gz	2001-05-21	793K
autoconf-2.52.tar.gz	2001-07-18	827K
autoconf-2.53.tar.gz	2002-03-08	967K
autoconf-2.54.tar.gz	2004-02-19	1.0M
autoconf-2.55.tar.gz	2002-11-14	1.0M
autoconf-2.56.tar.gz	2002-11-15	1.0M
autoconf-2.57.tar.gz	2002-12-03	1.0M
autoconf-2.58.tar.gz	2003-11-04	1.2M
autoconf-2.59.tar.gz	2003-12-16	1.2M
autoconf-2.60.tar.gz	2006-06-26	1.3M
autoconf-2.61.tar.gz	2006-11-17	1.3M
autoconf-2.62.tar.gz	2008-04-08	1.4M
autoconf-2.63.tar.gz	2008-09-09	1.5M
autoconf-2.64.tar.gz	2009-07-26	1.6M
autoconf-2.65.tar.gz	2009-11-21	1.7M
autoconf-2.66.tar.gz	2010-07-02	1.7M
autoconf-2.67.tar.gz	2010-08-02	1.8M
autoconf-2.68.tar.gz	2010-09-22	1.8M
autoconf-2.69.tar.gz	2012-04-24	1.8M
autoconf-2.70.tar.gz	2020-12-08	2.0M
autoconf-2.71.tar.gz	2021-01-28	1.9M
autoconf-2.72.tar.gz	2023-12-22	2.0M
autoconf-latest.tar.gz	2023-12-22	2.0M
autogen-4.5.14.tar.gz	2001-03-14	757K
autogen-5.5.7.tar.gz	2004-01-25	1.0M
autogen-5.18.7.tar.gz	2015-12-06	1.7M
libopts-22.0.13.tar.gz	2004-01-25	50K
autogen-5.11.8-doc.tar.gz	2011-03-07	3.2M
autogen-5.11.8.tar.gz	2011-03-07	1.3M
autogen-5.6.2.tar.gz	2004-05-24	1.1M
autogen-5.6.3-doc.tar.gz	2004-10-18	2.1M
autogen-5.6.3.tar.gz	2004-10-18	1.1M
autogen-5.6.4-doc.tar.gz	2004-10-24	2.1M
autogen-5.6.4.tar.gz	2004-10-24	1.1M
libopts-23.0.14.tar.gz	2004-10-24	76K
autogen-5.6.5-doc.tar.gz	2005-01-03	1.6M
autogen-5.6.5.tar.gz	2005-01-03	1.1M
libopts-23.1.14.tar.gz	2005-01-03	76K
autogen-5.6.0-doc.tar.gz	2004-02-25	2.1M
autogen-5.6.0.tar.gz	2004-02-25	1.0M
libopts-22.1.13.tar.gz	2004-02-25	50K
autogen-5.7.1-doc.tar.gz	2005-06-26	2.4M
autogen-5.7.1.tar.gz	2005-06-26	1.2M
libopts-25.1.0.tar.gz	2005-06-26	400K
autogen-5.7.2-doc.tar.gz	2005-07-28	2.4M
autogen-5.7.2.tar.gz	2005-07-28	1.2M
autogen-5.7.3-doc.tar.gz	2005-10-08	2.4M
autogen-5.7.3.tar.gz	2005-10-08	1.2M
autogen-5.7-doc.tar.gz	2005-04-25	2.4M
autogen-5.7.tar.gz	2005-04-25	1.2M
libopts-25.0.0.tar.gz	2005-04-25	100K
autogen-5.8.1-doc.tar.gz	2006-01-10	2.4M
autogen-5.8.1.tar.gz	2006-01-10	1.2M
autogen-5.8.3-doc.tar.gz	2006-02-03	2.4M
autogen-5.8.3.tar.gz	2006-02-03	1.2M
autogen-5.8.4-doc.tar.gz	2006-04-09	2.5M
autogen-5.8.4.tar.gz	2006-04-09	1.2M
libopts-27.1.2.tar.gz	2006-04-09	105K
autogen-5.8.5-doc.tar.gz	2006-08-12	2.5M
autogen-5.8.5.tar.gz	2006-08-12	1.2M
libopts-27.4.2.tar.gz	2006-08-12	107K
autogen-5.8.6-doc.tar.gz	2006-10-01	2.5M
autogen-5.8.6.tar.gz	2006-10-01	1.2M
libopts-27.4.3.tar.gz	2006-10-01	107K
autogen-5.8.7.tar.gz	2006-11-09	1.2M
autogen-5.8.8-doc.tar.gz	2006-12-18	2.7M
autogen-5.8.8.tar.gz	2006-12-18	1.2M
autogen-5.8.9-doc.tar.gz	2007-01-27	2.7M
autogen-5.8.9.tar.gz	2007-01-27	1.2M
autogen-5.8-doc.tar.gz	2005-12-15	2.4M
autogen-5.8.tar.gz	2005-12-15	1.2M
autogen-5.9.1-doc.tar.gz	2007-05-05	2.7M
autogen-5.9.1.tar.gz	2007-05-05	1.3M
