File Name	Date Last Modified	Latest Release Size
freedink-data-1.08.20110723.tar.gz	2011-07-22	41M
freedink-data-1.08.20111016.tar.gz	2011-10-16	42M
freedink-data-1.08.20121209.tar.gz	2012-12-09	42M
freedink-data-1.08.20140901.tar.gz	2014-09-01	49M
freedink-data-1.08.20170401.tar.gz	2017-04-08	50M
freedink-data-1.08.20170409.tar.gz	2017-04-09	51M
freedink-data-1.08.20190120.tar.gz	2019-01-20	68M
liberation-fonts-1.04.93.devel.src.tar.gz	2017-03-04	2.2M
liberation-fonts-1.04.93.devel.tar.gz	2017-03-04	1.0M
freefont-otf-20100919.tar.gz	2010-09-23	4.1M
freefont-otf-20120503.tar.gz	2012-05-03	4.3M
freefont-sfd-20051206.tar.gz	2005-12-06	4.3M
freefont-sfd-20060126.tar.gz	2006-02-14	3.9M
freefont-sfd-20080323.tar.gz	2008-03-23	3.6M
freefont-sfd-20080912.tar.gz	2008-09-12	3.8M
freefont-sfd-20090104.tar.gz	2009-01-04	4.6M
freefont-sfd-20100919.tar.gz	2010-09-19	5.5M
freefont-sfd.tar.gz	2005-04-07	2.9M
freefont-src-20120503.tar.gz	2012-05-03	6.2M
freefont-ttf-20051206.tar.gz	2005-12-06	1.9M
freefont-ttf-20060126.tar.gz	2006-01-27	2.0M
freefont-ttf-20080323.tar.gz	2008-03-23	1.8M
freefont-ttf-20080912.tar.gz	2008-09-12	3.2M
freefont-ttf-20090104.tar.gz	2009-01-04	2.8M
freefont-ttf-20100919.tar.gz	2010-09-19	3.2M
freefont-ttf.tar.gz	2005-04-07	1.1M
freeipmi-0.7.5.tar.gz	2009-01-21	1.8M
freeipmi-0.7.6.tar.gz	2009-02-25	1.8M
freeipmi-0.7.7.tar.gz	2009-04-03	1.9M
freeipmi-0.7.8.tar.gz	2009-04-10	1.9M
freeipmi-0.7.9.tar.gz	2009-05-15	1.9M
freeipmi-0.7.10.tar.gz	2009-06-16	1.9M
freeipmi-0.7.11.tar.gz	2009-07-28	1.9M
freeipmi-0.7.12.tar.gz	2009-09-08	1.9M
freeipmi-0.7.13.tar.gz	2009-09-30	1.9M
freeipmi-0.7.14.tar.gz	2009-10-22	1.9M
freeipmi-0.7.15.tar.gz	2009-11-19	1.9M
freeipmi-0.7.16.tar.gz	2009-11-30	1.9M
freeipmi-0.8.1.tar.gz	2009-12-07	2.6M
freeipmi-0.8.2.tar.gz	2010-01-06	2.6M
freeipmi-0.8.4.tar.gz	2010-03-05	2.6M
freeipmi-0.8.5.tar.gz	2010-04-29	2.6M
freeipmi-0.8.6.tar.gz	2010-05-24	2.6M
freeipmi-0.8.7.tar.gz	2010-06-16	2.6M
freeipmi-0.8.8.tar.gz	2010-07-20	2.6M
freeipmi-0.8.9.tar.gz	2010-08-20	2.6M
freeipmi-0.8.10.tar.gz	2010-09-28	2.7M
freeipmi-0.8.11.tar.gz	2010-11-01	2.7M
freeipmi-0.8.12.tar.gz	2010-12-06	2.7M
freeipmi-1.0.1.tar.gz	2011-01-20	2.9M
freeipmi-1.0.2.tar.gz	2011-02-22	2.9M
freeipmi-1.0.3.tar.gz	2011-03-29	3.0M
freeipmi-1.0.4.tar.gz	2011-04-21	3.0M
freeipmi-1.0.5.tar.gz	2011-06-30	3.0M
freeipmi-1.0.6.tar.gz	2011-09-01	3.0M
freeipmi-1.0.7.tar.gz	2011-09-28	3.0M
freeipmi-1.0.8.tar.gz	2011-10-26	3.0M
freeipmi-1.0.9.tar.gz	2011-11-21	3.0M
freeipmi-1.0.10.tar.gz	2011-12-13	3.0M
freeipmi-1.1.1.tar.gz	2012-01-03	2.9M
freeipmi-1.1.2.tar.gz	2012-02-07	2.9M
freeipmi-1.1.3.tar.gz	2012-03-06	2.9M
freeipmi-1.1.4.tar.gz	2012-04-19	2.9M
freeipmi-1.1.5.tar.gz	2012-05-17	2.9M
freeipmi-1.1.6.tar.gz	2012-06-28	2.9M
freeipmi-1.1.7.tar.gz	2012-07-30	2.9M
freeipmi-1.2.1.tar.gz	2012-08-22	2.9M
freeipmi-1.2.2.tar.gz	2012-10-02	2.9M
freeipmi-1.2.3.tar.gz	2012-11-14	2.9M
freeipmi-1.2.4.tar.gz	2013-01-10	2.9M
freeipmi-1.2.5.tar.gz	2013-02-27	2.9M
freeipmi-1.2.6.tar.gz	2013-04-29	2.9M
freeipmi-1.2.7.tar.gz	2013-05-16	2.9M
freeipmi-1.2.8.tar.gz	2013-06-21	2.9M
freeipmi-1.2.9.tar.gz	2013-07-17	2.9M
freeipmi-1.3.1.tar.gz	2013-08-22	2.9M
freeipmi-1.3.2.tar.gz	2013-09-10	2.9M
freeipmi-1.3.3.tar.gz	2013-10-29	2.9M
freeipmi-1.3.4.tar.gz	2013-12-12	2.9M
freeipmi-1.4.1.tar.gz	2014-03-03	2.9M
freeipmi-1.4.2.tar.gz	2014-05-06	2.9M
freeipmi-1.4.3.tar.gz	2014-05-07	2.9M
freeipmi-1.4.4.tar.gz	2014-06-27	2.9M
freeipmi-1.4.5.tar.gz	2014-07-28	2.9M
freeipmi-1.4.6.tar.gz	2014-10-29	3.0M
freeipmi-1.4.7.tar.gz	2014-12-10	3.0M
freeipmi-1.4.8.tar.gz	2015-01-07	3.0M
freeipmi-1.4.9.tar.gz	2015-06-01	3.0M
freeipmi-1.4.10.tar.gz	2015-10-20	3.1M
freeipmi-1.4.11.tar.gz	2015-10-29	3.1M
freeipmi-1.5.1.tar.gz	2015-12-01	3.1M
freeipmi-1.5.2.tar.gz	2016-05-23	3.1M
freeipmi-1.5.3.tar.gz	2016-08-01	3.1M
freeipmi-1.5.4.tar.gz	2016-09-30	3.1M
freeipmi-1.5.5.tar.gz	2016-11-02	3.1M
freeipmi-1.5.6.tar.gz	2017-07-05	3.2M
freeipmi-1.5.7.tar.gz	2017-08-16	3.2M
freeipmi-1.6.1.tar.gz	2018-02-02	3.2M
freeipmi-1.6.2.tar.gz	2018-05-03	3.2M
freeipmi-1.6.3.tar.gz	2019-01-24	3.3M
freeipmi-1.6.4.tar.gz	2019-08-21	3.3M
freeipmi-1.6.5.tar.gz	2020-05-21	3.3M
freeipmi-1.6.6.tar.gz	2020-09-04	3.3M
freeipmi-1.6.7.tar.gz	2021-02-13	3.3M
freeipmi-1.6.8.tar.gz	2021-05-20	3.3M
freeipmi-1.6.9.tar.gz	2022-01-19	3.3M
freeipmi-1.6.10.tar.gz	2022-08-31	3.3M
freeipmi-1.6.11.tar.gz	2023-06-07	3.3M
freeipmi-1.6.12.tar.gz	2024-01-26	3.3M
freeipmi-1.6.13.tar.gz	2024-01-26	3.3M
freeipmi-1.6.14.tar.gz	2024-01-28	3.3M
freetalk-4.0.1.tar.gz	2016-12-29	132K
freetalk-4.0.tar.gz	2016-12-29	132K
freetalk-4.1.tar.gz	2016-12-29	131K
freetalk-4.2.tar.gz	2022-06-09	324K
g-golf-0.8.0-rc-2.tar.gz	2023-11-01	1.6M
g-golf-0.8.0-a.1.tar.gz	2023-01-09	1.3M
g-golf-0.8.0-a.2.tar.gz	2023-02-08	1.3M
g-golf-0.8.0-a.3.tar.gz	2023-04-16	1.3M
g-golf-0.8.0-a.4.tar.gz	2023-08-31	1.4M
g-golf-0.8.0-a.5.tar.gz	2023-09-13	1.4M
g-golf-0.8.0-alpha-6.tar.gz	2023-10-06	1.5M
g-golf-0.8.0-rc-1.tar.gz	2023-11-01	1.6M
gama-1.6.00.tar.gz	2003-11-13	456K
gama-1.6.01.tar.gz	2004-03-04	464K
gama-1.6.02.tar.gz	2004-05-20	488K
gama-1.8.00.tar.gz	2005-12-28	553K
gama-1.8.01.tar.gz	2006-04-10	603K
gama-1.9.02.tar.gz	2007-01-21	691K
gama-1.9.03.tar.gz	2007-06-29	724K
gama-1.9.04.tar.gz	2007-10-20	726K
gama-1.9.05.tar.gz	2008-04-13	728K
gama-1.9.06.tar.gz	2008-10-28	743K
gama-1.9.07.tar.gz	2009-12-02	759K
gama-1.10.tar.gz	2010-07-23	773K
gama-1.11.tar.gz	2011-08-14	767K
gama-1.12.tar.gz	2012-07-24	795K
gama-1.13.tar.gz	2012-09-07	800K
gama-1.14.tar.gz	2013-09-25	1.0M
gama-1.15.tar.gz	2014-03-25	1.0M
gama-1.16.tar.gz	2015-07-24	1.1M
gama-1.17.tar.gz	2015-11-08	1.1M
gama-1.18.tar.gz	2016-08-16	1.1M
gama-1.19.tar.gz	2017-06-28	1.1M
gama-1.20.tar.gz	2017-11-15	1.1M
gama-1.21.tar.gz	2017-11-26	1.1M
gama-1.22.tar.gz	2018-03-30	1.1M
gama-2.00.tar.gz	2018-05-19	1.2M
gama-2.01.tar.gz	2018-10-08	4.3M
gama-2.02.tar.gz	2018-12-21	4.3M
gama-2.03.tar.gz	2019-02-04	4.3M
gama-2.04.tar.gz	2019-04-07	4.4M
gama-2.05.tar.gz	2019-05-12	4.4M
gama-2.06.tar.gz	2019-07-07	4.4M
gama-2.07.tar.gz	2019-09-04	4.4M
gama-2.08.tar.gz	2019-12-23	4.5M
gama-2.09.tar.gz	2020-06-30	4.5M
gama-2.10.tar.gz	2020-09-26	14M
gama-2.11.tar.gz	2020-10-27	14M
gama-2.12.tar.gz	2020-11-28	14M
gama-2.13.tar.gz	2021-01-15	14M
gama-2.14.tar.gz	2021-02-28	14M
gama-2.15.tar.gz	2021-09-20	14M
gama-2.16.tar.gz	2021-11-27	14M
gama-2.17.tar.gz	2022-01-07	14M
gama-2.18.tar.gz	2022-04-12	14M
gama-2.19.tar.gz	2022-04-26	14M
gama-2.20.tar.gz	2022-06-30	14M
gama-2.21.tar.gz	2022-07-11	14M
gama-2.22.tar.gz	2022-09-02	14M
gama-2.23.tar.gz	2022-09-12	14M
gama-2.24.tar.gz	2023-02-23	14M
gama-2.25.1.tar.gz	2023-09-26	15M
gama-2.25.tar.gz	2023-08-28	15M
gama-2.26.tar.gz	2023-09-30	15M
gama-2.27.tar.gz	2023-11-06	15M
gama-2.28.tar.gz	2024-01-10	15M
qgama-1.00.tar.gz	2022-07-27	829K
qgama-1.01.tar.gz	2022-07-27	834K
qgama-1.02.tar.gz	2022-07-27	832K
qgama-1.03.tar.gz	2022-07-27	833K
qgama-2.00.tar.gz	2022-07-27	830K
qgama-2.01.tar.gz	2022-07-27	830K
qgama-2.02.tar.gz	2022-07-27	187K
qgama-2.03.tar.gz	2022-07-27	194K
qgama-2.04.tar.gz	2022-07-27	194K
qgama-2.05.tar.gz	2022-07-27	194K
qgama-2.06.tar.gz	2023-03-07	134K
garpd-0.2.0.tar.gz	2010-12-06	312K
gawk-1.01.tar.gz	2010-04-08	59K
gawk-2.02.tar.gz	2010-04-27	85K
gawk-2.03.tar.gz	2010-04-08	110K
gawk-2.10.tar.gz	2010-04-27	450K
gawk-2.11.1.tar.gz	2010-04-08	249K
gawk-2.13.2.tar.gz	2010-04-27	512K
gawk-2.13.tar.gz	2010-07-04	415K
gawk-2.14.tar.gz	2010-04-08	436K
gawk-2.15.1.tar.gz	2010-04-24	581K
gawk-2.15.2.tar.gz	2010-04-08	573K
gawk-2.15.3.tar.gz	2010-04-08	469K
gawk-2.15.4.tar.gz	2010-04-08	496K
gawk-2.15.5.tar.gz	2010-04-08	500K
gawk-2.15.6.tar.gz	2010-04-08	508K
gawk-2.15.tar.gz	2010-04-24	580K
gawk-3.0.0.tar.gz	2010-07-04	649K
gawk-3.0.1.tar.gz	2010-07-04	711K
gawk-3.0.2-doc.tar.gz	1996-12-28	866K
gawk-3.0.2.tar.gz	1996-12-28	933K
gawk-3.0.3-doc.tar.gz	1997-05-16	351K
gawk-3.0.3-ps.tar.gz	1997-05-16	521K
gawk-3.0.3.tar.gz	1997-05-16	972K
gawk-3.0.4-doc.tar.gz	1999-06-30	352K
gawk-3.0.4-ps.tar.gz	1999-06-30	578K
gawk-3.0.4.tar.gz	1999-06-30	1.0M
gawk-3.0.5-doc.tar.gz	2000-06-26	353K
gawk-3.0.5-ps.tar.gz	2000-06-26	591K
gawk-3.0.5.tar.gz	2000-06-26	1.0M
gawk-3.0.6-doc.tar.gz	2000-08-08	354K
gawk-3.0.6-ps.tar.gz	2000-08-08	591K
gawk-3.0.6.tar.gz	2000-08-08	1.0M
gawk-3.1.0-doc.tar.gz	2001-06-03	548K
gawk-3.1.0-ps.tar.gz	2001-06-03	939K
gawk-3.1.0.tar.gz	2001-06-03	1.5M
gawk-3.1.1-doc.tar.gz	2002-05-08	576K
gawk-3.1.1-ps.tar.gz	2002-05-08	941K
gawk-3.1.1.tar.gz	2002-05-08	1.8M
gawk-3.1.2-doc.tar.gz	2003-03-23	604K
gawk-3.1.2-ps.tar.gz	2003-03-23	963K
gawk-3.1.2.tar.gz	2003-03-23	1.9M
gawk-3.1.3-doc.tar.gz	2003-07-08	1.1M
gawk-3.1.3-ps.tar.gz	2003-07-08	968K
gawk-3.1.3.tar.gz	2003-07-08	2.0M
gawk-3.1.4-doc.tar.gz	2004-08-01	599K
gawk-3.1.4-ps.tar.gz	2004-08-01	1.1M
gawk-3.1.4.tar.gz	2004-08-02	2.2M
gawk-3.1.5-doc.tar.gz	2005-08-12	601K
gawk-3.1.5-ps.tar.gz	2005-08-12	1.1M
gawk-3.1.5.tar.gz	2005-08-12	2.2M
gawk-3.1.6-doc.tar.gz	2007-10-25	597K
gawk-3.1.6-ps.tar.gz	2007-10-25	1.1M
gawk-3.1.6.tar.gz	2007-10-25	2.4M
gawk-3.1.7.tar.gz	2009-07-23	3.0M
gawk-3.1.8.tar.gz	2010-05-07	2.5M
gawk-4.0.0.tar.gz	2011-06-29	2.5M
gawk-4.0.1.tar.gz	2012-03-28	2.6M
gawk-4.0.2.tar.gz	2012-12-26	2.6M
gawk-4.1.0.tar.gz	2013-05-10	3.8M
gawk-4.1.1.tar.gz	2014-04-08	4.1M
gawk-4.1.2.tar.gz	2015-04-29	4.2M
gawk-4.1.3.tar.gz	2015-05-20	4.2M
gawk-4.1.4.tar.gz	2016-08-25	4.4M
gawk-4.2.0.tar.gz	2017-10-19	5.3M
gawk-4.2.1.tar.gz	2018-02-25	5.4M
gawk-5.0.0.tar.gz	2019-04-12	5.5M
gawk-5.0.1.tar.gz	2019-06-18	5.7M
gawk-5.1.0.tar.gz	2020-04-14	5.7M
gawk-5.1.1.tar.gz	2021-10-28	6.0M
gawk-5.2.0.tar.gz	2022-09-04	6.2M
gawk-5.2.1.tar.gz	2022-11-22	6.3M
gawk-5.2.2.tar.gz	2023-05-09	6.3M
gawk-5.3.0.tar.gz	2023-11-02	6.0M
gawk-doc-2.15.2.tar.gz	1993-05-20	194K
gawk-ps-2.15.2.tar.gz	1993-05-20	281K
gcal-2.40.tar.gz	1997-09-29	1.3M
gcal-3.00.tar.gz	2000-06-08	2.3M
gcal-3.01.tar.gz	2000-07-11	2.3M
gcal-3.5.1.tar.gz	2010-04-10	1.9M
gcal-3.5.tar.gz	2010-04-07	1.9M
gcal-3.6.1.tar.gz	2011-07-15	2.8M
gcal-3.6.3.tar.gz	2013-03-29	2.9M
gcal-3.6.tar.gz	2010-06-02	2.5M
gcal-4.1.tar.gz	2017-01-22	3.0M
gcal-4.tar.gz	2015-06-02	2.8M
g++-2.5.0-testsuite.tar.gz	1993-10-29	185K
gcc-1.42.tar.gz	1992-09-20	1.8M
gcc-2.3.3-testsuite.tar.gz	2001-01-25	214K
gcc-2.7.2.3.tar.gz	2001-01-25	6.8M
gcc-2.8.0.tar.gz	1998-01-14	8.1M
gcc-2.8.1.tar.gz	1998-03-04	8.1M
gcc-2.95.1.tar.gz	2001-03-22	12M
gcc-2.95.2.tar.gz	2001-03-22	12M
gcc-2.95.3.tar.gz	2001-03-22	12M
gcc-2.95.tar.gz	2001-03-22	12M
gcc-3.0.1.tar.gz	2001-08-20	17M
gcc-3.0.2.tar.gz	2001-10-23	17M
gcc-3.0.3.tar.gz	2001-12-20	18M
gcc-3.0.4.tar.gz	2002-02-21	18M
gcc-3.0.tar.gz	2001-06-18	17M
gcc-3.1.1.tar.gz	2002-07-26	26M
gcc-3.1.tar.gz	2002-05-15	26M
gcc-3.2.1.tar.gz	2002-11-19	26M
gcc-3.2.2.tar.gz	2003-02-04	25M
gcc-3.2.3.tar.gz	2003-04-23	26M
gcc-3.2.tar.gz	2002-08-15	26M
gcc-3.3.1.tar.gz	2003-08-04	30M
gcc-3.3.2.tar.gz	2003-10-16	30M
gcc-3.3.tar.gz	2003-05-14	30M
gcc-vms-1.42.tar.gz	1992-11-24	836K
gnu-objc-issues-1.0.tar.gz	1993-03-08	169K
gcc-chill-2.95.1.tar.gz	2001-03-22	566K
gcc-core-2.95.1.tar.gz	2001-03-22	8.5M
gcc-everything-2.95.1.tar.gz	2001-03-22	12M
gcc-g++-2.95.1.tar.gz	2001-03-22	1.6M
gcc-g77-2.95.1.tar.gz	2001-03-22	1.2M
gcc-java-2.95.1.tar.gz	2001-03-22	553K
gcc-objc-2.95.1.tar.gz	2001-03-22	274K
gcc-chill-2.95.2.tar.gz	2001-03-22	566K
gcc-core-2.95.2.tar.gz	2001-03-22	8.5M
gcc-everything-2.95.2.tar.gz	2001-03-22	12M
gcc-g++-2.95.2.tar.gz	2001-03-22	1.6M
gcc-g77-2.95.2.tar.gz	2001-03-22	1.2M
gcc-java-2.95.2.tar.gz	2001-03-22	553K
gcc-objc-2.95.2.tar.gz	2001-03-22	274K
gcc-chill-2.95.3.tar.gz	2001-03-22	527K
gcc-core-2.95.3.tar.gz	2001-03-22	8.5M
gcc-everything-2.95.3.tar.gz	2001-03-22	12M
gcc-g++-2.95.3.tar.gz	2001-03-22	1.6M
gcc-g77-2.95.3.tar.gz	2001-03-22	1.2M
gcc-java-2.95.3.tar.gz	2001-03-22	513K
gcc-objc-2.95.3.tar.gz	2001-03-22	235K
gcc-chill-2.95.tar.gz	2001-03-22	566K
gcc-core-2.95.tar.gz	2001-03-22	8.5M
gcc-everything-2.95.tar.gz	2001-03-22	12M
gcc-g++-2.95.tar.gz	2001-03-22	1.6M
gcc-g77-2.95.tar.gz	2001-03-22	1.2M
gcc-java-2.95.tar.gz	2001-03-22	553K
gcc-objc-2.95.tar.gz	2001-03-22	274K
gcc-3.0.1.tar.gz	2001-08-20	17M
gcc-core-3.0.1.tar.gz	2001-08-20	9.8M
gcc-g++-3.0.1.tar.gz	2001-08-20	2.0M
gcc-g77-3.0.1.tar.gz	2001-08-20	1.4M
gcc-java-3.0.1.tar.gz	2001-08-20	2.9M
gcc-objc-3.0.1.tar.gz	2001-08-20	220K
gcc-testsuite-3.0.1.tar.gz	2001-08-20	919K
gcc-3.0.2.tar.gz	2001-10-23	17M
gcc-core-3.0.2.tar.gz	2001-10-23	9.8M
gcc-g++-3.0.2.tar.gz	2001-10-23	2.2M
gcc-g77-3.0.2.tar.gz	2001-10-23	1.4M
gcc-java-3.0.2.tar.gz	2001-10-23	2.9M
gcc-objc-3.0.2.tar.gz	2001-10-23	221K
gcc-testsuite-3.0.2.tar.gz	2001-10-23	922K
gcc-3.0.3.tar.gz	2001-12-20	18M
gcc-core-3.0.3.tar.gz	2001-12-20	9.9M
gcc-g++-3.0.3.tar.gz	2001-12-20	2.2M
gcc-g77-3.0.3.tar.gz	2001-12-20	1.4M
gcc-java-3.0.3.tar.gz	2001-12-20	2.9M
gcc-objc-3.0.3.tar.gz	2001-12-20	221K
gcc-testsuite-3.0.3.tar.gz	2001-12-20	923K
gcc-3.0.4.tar.gz	2002-02-21	18M
gcc-core-3.0.4.tar.gz	2002-02-21	9.9M
gcc-g++-3.0.4.tar.gz	2002-02-21	2.2M
gcc-g77-3.0.4.tar.gz	2002-02-21	1.4M
gcc-java-3.0.4.tar.gz	2002-02-21	2.9M
gcc-objc-3.0.4.tar.gz	2002-02-21	222K
gcc-testsuite-3.0.4.tar.gz	2002-02-21	924K
gcc-3.0.tar.gz	2001-06-18	17M
gcc-core-3.0.tar.gz	2001-06-18	9.7M
gcc-everything-3.0.tar.gz	2001-06-18	17M
gcc-g++-3.0.tar.gz	2001-06-18	2.0M
gcc-g77-3.0.tar.gz	2001-06-18	1.4M
gcc-java-3.0.tar.gz	2001-06-18	2.9M
gcc-objc-3.0.tar.gz	2001-06-18	221K
gcc-testsuite-3.0.tar.gz	2001-06-18	912K
gcc-3.1.1.tar.gz	2002-07-26	26M
gcc-ada-3.1.1.tar.gz	2002-07-26	4.0M
gcc-core-3.1.1.tar.gz	2002-07-26	13M
gcc-g++-3.1.1.tar.gz	2002-07-26	2.4M
gcc-g77-3.1.1.tar.gz	2002-07-26	1.4M
gcc-java-3.1.1.tar.gz	2002-07-26	3.8M
gcc-objc-3.1.1.tar.gz	2002-07-26	240K
gcc-testsuite-3.1.1.tar.gz	2002-07-26	1.1M
gcc-3.1.tar.gz	2002-05-15	26M
gcc-ada-3.1.tar.gz	2002-05-15	4.0M
gcc-core-3.1.tar.gz	2002-05-15	13M
gcc-g++-3.1.tar.gz	2002-05-15	2.3M
gcc-g77-3.1.tar.gz	2002-05-15	1.4M
gcc-java-3.1.tar.gz	2002-05-15	3.8M
gcc-objc-3.1.tar.gz	2002-05-15	240K
gcc-testsuite-3.1.tar.gz	2002-05-15	1.1M
gcc-3.2.1.tar.gz	2002-11-19	26M
gcc-ada-3.2.1.tar.gz	2002-11-19	4.0M
gcc-core-3.2.1.tar.gz	2002-11-19	13M
gcc-g++-3.2.1.tar.gz	2002-11-19	2.5M
gcc-g77-3.2.1.tar.gz	2002-11-19	1.4M
gcc-java-3.2.1.tar.gz	2002-11-19	3.8M
gcc-objc-3.2.1.tar.gz	2002-11-19	240K
gcc-testsuite-3.2.1.tar.gz	2002-11-19	1.1M
gcc-3.2.2.tar.gz	2003-02-04	25M
gcc-ada-3.2.2.tar.gz	2003-02-04	4.2M
gcc-core-3.2.2.tar.gz	2003-02-04	12M
gcc-g++-3.2.2.tar.gz	2003-02-04	2.5M
gcc-g77-3.2.2.tar.gz	2003-02-04	1.2M
gcc-java-3.2.2.tar.gz	2003-02-04	3.8M
gcc-objc-3.2.2.tar.gz	2003-02-04	246K
gcc-testsuite-3.2.2.tar.gz	2003-02-04	1.2M
gcc-3.2.3.tar.gz	2003-04-23	26M
gcc-ada-3.2.3.tar.gz	2003-04-23	4.0M
gcc-core-3.2.3.tar.gz	2003-04-23	13M
gcc-g++-3.2.3.tar.gz	2003-04-23	2.5M
gcc-g77-3.2.3.tar.gz	2003-04-23	1.4M
gcc-java-3.2.3.tar.gz	2003-04-23	3.8M
gcc-objc-3.2.3.tar.gz	2003-04-23	245K
gcc-testsuite-3.2.3.tar.gz	2003-04-23	1.1M
gcc-3.2.tar.gz	2002-08-15	26M
gcc-ada-3.2.tar.gz	2002-08-15	4.0M
gcc-core-3.2.tar.gz	2002-08-15	13M
gcc-g++-3.2.tar.gz	2002-08-15	2.4M
gcc-g77-3.2.tar.gz	2002-08-15	1.4M
gcc-java-3.2.tar.gz	2002-08-15	3.8M
gcc-objc-3.2.tar.gz	2002-08-15	240K
gcc-testsuite-3.2.tar.gz	2002-08-15	1.1M
gcc-3.3.1.tar.gz	2003-08-04	30M
gcc-ada-3.3.1.tar.gz	2003-08-04	5.6M
gcc-core-3.3.1.tar.gz	2003-08-04	14M
gcc-g++-3.3.1.tar.gz	2003-08-04	2.7M
gcc-g77-3.3.1.tar.gz	2003-08-04	1.4M
gcc-java-3.3.1.tar.gz	2003-08-04	4.4M
gcc-objc-3.3.1.tar.gz	2003-08-04	248K
gcc-testsuite-3.3.1.tar.gz	2003-08-04	1.3M
gcc-3.3.2.tar.gz	2003-10-16	30M
gcc-ada-3.3.2.tar.gz	2003-10-16	5.6M
gcc-core-3.3.2.tar.gz	2003-10-16	14M
gcc-g++-3.3.2.tar.gz	2003-10-16	2.7M
gcc-g77-3.3.2.tar.gz	2003-10-16	1.4M
gcc-java-3.3.2.tar.gz	2003-10-16	4.4M
gcc-objc-3.3.2.tar.gz	2003-10-16	248K
gcc-testsuite-3.3.2.tar.gz	2003-10-16	1.3M
gcc-3.3.3.tar.gz	2004-02-21	29M
gcc-ada-3.3.3.tar.gz	2004-02-21	4.8M
gcc-core-3.3.3.tar.gz	2004-02-21	14M
gcc-g++-3.3.3.tar.gz	2004-02-21	2.7M
gcc-g77-3.3.3.tar.gz	2004-02-21	1.4M
gcc-java-3.3.3.tar.gz	2004-02-21	4.4M
gcc-objc-3.3.3.tar.gz	2004-02-21	248K
gcc-testsuite-3.3.3.tar.gz	2004-02-21	1.3M
gcc-3.3.4.tar.gz	2004-06-23	29M
gcc-ada-3.3.4.tar.gz	2004-06-23	4.8M
gcc-core-3.3.4.tar.gz	2004-06-23	14M
gcc-g++-3.3.4.tar.gz	2004-06-23	2.7M
gcc-g77-3.3.4.tar.gz	2004-06-23	1.4M
gcc-java-3.3.4.tar.gz	2004-06-23	4.4M
gcc-objc-3.3.4.tar.gz	2004-06-23	248K
gcc-testsuite-3.3.4.tar.gz	2004-06-23	1.3M
gcc-3.3.5.tar.gz	2005-01-04	30M
gcc-ada-3.3.5.tar.gz	2005-01-04	4.9M
gcc-core-3.3.5.tar.gz	2005-01-04	15M
gcc-g++-3.3.5.tar.gz	2005-01-04	2.8M
gcc-g77-3.3.5.tar.gz	2005-01-04	1.4M
gcc-java-3.3.5.tar.gz	2005-01-04	4.5M
gcc-objc-3.3.5.tar.gz	2005-01-04	254K
gcc-testsuite-3.3.5.tar.gz	2005-01-04	1.4M
gcc-3.3.6.tar.gz	2005-05-03	30M
gcc-ada-3.3.6.tar.gz	2005-05-03	4.9M
gcc-core-3.3.6.tar.gz	2005-05-03	15M
gcc-g++-3.3.6.tar.gz	2005-05-03	2.8M
gcc-g77-3.3.6.tar.gz	2005-05-03	1.4M
gcc-java-3.3.6.tar.gz	2005-05-03	4.5M
gcc-objc-3.3.6.tar.gz	2005-05-03	255K
gcc-testsuite-3.3.6.tar.gz	2005-05-03	1.4M
gcc-3.3.tar.gz	2003-05-14	30M
gcc-ada-3.3.tar.gz	2003-05-14	5.6M
gcc-core-3.3.tar.gz	2003-05-14	14M
gcc-g++-3.3.tar.gz	2003-05-14	2.6M
gcc-g77-3.3.tar.gz	2003-05-14	1.4M
gcc-java-3.3.tar.gz	2003-05-14	4.4M
gcc-objc-3.3.tar.gz	2003-05-14	248K
gcc-testsuite-3.3.tar.gz	2003-05-14	1.3M
gcc-3.4.0.tar.gz	2004-04-20	34M
gcc-ada-3.4.0.tar.gz	2004-04-20	5.3M
gcc-core-3.4.0.tar.gz	2004-04-20	16M
gcc-g++-3.4.0.tar.gz	2004-04-20	3.2M
gcc-g77-3.4.0.tar.gz	2004-04-20	1.1M
gcc-java-3.4.0.tar.gz	2004-04-20	5.6M
gcc-objc-3.4.0.tar.gz	2004-04-20	255K
gcc-testsuite-3.4.0.tar.gz	2004-04-20	3.1M
gcc-3.4.1.tar.gz	2004-07-09	34M
gcc-ada-3.4.1.tar.gz	2004-07-09	4.7M
gcc-core-3.4.1.tar.gz	2004-07-09	16M
gcc-g++-3.4.1.tar.gz	2004-07-09	3.2M
gcc-g77-3.4.1.tar.gz	2004-07-09	1.1M
gcc-java-3.4.1.tar.gz	2004-07-09	5.6M
gcc-objc-3.4.1.tar.gz	2004-07-09	255K
gcc-testsuite-3.4.1.tar.gz	2004-07-09	3.1M
gcc-3.4.5.tar.gz	2005-12-01	35M
gcc-ada-3.4.5.tar.gz	2005-12-01	4.9M
gcc-core-3.4.5.tar.gz	2005-12-01	17M
gcc-g++-3.4.5.tar.gz	2005-12-01	3.4M
gcc-g77-3.4.5.tar.gz	2005-12-01	1.1M
gcc-java-3.4.5.tar.gz	2005-12-01	5.8M
gcc-objc-3.4.5.tar.gz	2005-12-01	263K
gcc-testsuite-3.4.5.tar.gz	2005-12-01	3.3M
gcc-3.4.6.tar.gz	2006-03-10	35M
